date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:45	603/603	---M-Z	200	added ('OK')	text/plain	date:Tue,%2008%20Nov%202022%2017:17:01%20GMT	https://www.brunel.ac.uk/robots.txt		(from )
21:04:45	95511/95511	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2015:06:50%20GMT	https://www.brunel.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/www.brunel.ac.uk/index.html	(from )
21:04:46	268294/268294	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Nov%202021%2010:15:57%20GMT	https://www.brunel.ac.uk/SiteElements/css/brunel.css?version=197732	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/www.brunel.ac.uk/SiteElements/css/brunelaae2.css	(from https://www.brunel.ac.uk/)
21:04:47	20509/20509	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202022%2011:04:03%20GMT	https://www.brunel.ac.uk/SiteElements/css/ToBeSassed.css?version=213950	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/www.brunel.ac.uk/SiteElements/css/ToBeSassedef4c.css	(from https://www.brunel.ac.uk/)
21:04:48	1436/1436	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Jul%202020%2010:23:53%20GMT	https://www.brunel.ac.uk/SiteElements/plugins/Responsive-tables/responsive-tables.css?version=56399	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/www.brunel.ac.uk/SiteElements/plugins/Responsive-tables/responsive-tables92fe.css	(from https://www.brunel.ac.uk/)
21:04:49	294/294	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Jul%202020%2010:23:53%20GMT	https://www.brunel.ac.uk/SiteElements/css/print.css?version=125640	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/www.brunel.ac.uk/SiteElements/css/print2a9e.css	(from https://www.brunel.ac.uk/)
21:04:50	93113/93113	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2011%20Nov%202022%2009:52:56%20GMT	https://www.brunel.ac.uk/WebResource.axd?d=PjUm9HYMtFaBv1w8LgD13UIzsrcgJRMlHl1KVAzF2AgEiZAQn_RB8q1D-OpipawIamHu-r6UwDtePXpIVa2V6pnJ_gcL_OhkiR9WkXq50FLfVzbD0&t=638037571767424481&build=1531138	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/www.brunel.ac.uk/WebResourceb0d5.js	(from https://www.brunel.ac.uk/)
21:04:50	23988/23988	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2011%20Nov%202022%2009:47:46%20GMT	https://www.brunel.ac.uk/WebResource.axd?d=E2Wy6lkTV9QQlo0i62DlslLksn79kuGwSG2LZ5M6u7UdbKLJnUO5POTm5vWFKI4KsBfTULjl1gKyXrnRmV32tH3VT23YmygMQCQjQuCTXlffAdnkpiTIW_M_P2Uq077dwJsLUwPsfvdZcxoEtS3BjnzVgJks9uApqnqjbgKs2BFEpTwK0&t=638037571783920827&build=1531138	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/www.brunel.ac.uk/WebResource22e0.axd	(from https://www.brunel.ac.uk/)
21:04:51	1138/1138	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2026%20May%202022%2011:17:19%20GMT	https://www.brunel.ac.uk/SiteElements/js/sitewide-scripts-gtm.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/www.brunel.ac.uk/SiteElements/js/sitewide-scripts-gtm.js	(from https://www.brunel.ac.uk/)
21:04:51	103449/103449	---M-Z	200	added ('OK')	application/javascript	etag:%220ac913d0d7d81:0%22	https://consent.cookiebot.com/uc.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/consent.cookiebot.com/uc.js	(from https://www.brunel.ac.uk/)
21:04:52	5575/5575	---M--	200	added ('OK')	image/png	etag:00c3e9f6	https://www.brunel.ac.uk/SiteElements/images/favicon/apple-icon-57x57.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/www.brunel.ac.uk/SiteElements/images/favicon/apple-icon-57x57.png	(from https://www.brunel.ac.uk/)
21:04:53	5978/5978	---M--	200	added ('OK')	image/png	etag:6d49508f	https://www.brunel.ac.uk/SiteElements/images/favicon/apple-icon-60x60.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day17/Web83/Site83/www.brunel.ac.uk/SiteElements/images/favicon/apple-icon-60x60.png	(from https://www.brunel.ac.uk/)
